Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
Bl86-R20_Lhem_2_4.00_B,Bl86-R20,Lhem,2,4,B,rcorr,0.151333333,Male_song_3
Bl86-R20_Lhem_2_4.00_B,Bl86-R20,Lhem,2,4,B,rcorr,0.106666667,White_noise
Bl86-R20_Lhem_2_4.00_A,Bl86-R20,Lhem,2,4,A,rcorr,0.255333333,Female_call
Bl86-R20_Lhem_2_4.00_A,Bl86-R20,Lhem,2,4,A,rcorr,0.227111111,Male_song_1
Bl86-R20_Lhem_2_4.00_A,Bl86-R20,Lhem,2,4,A,rcorr,0.232777778,Male_song_2
Bl86-R20_Lhem_2_4.00_A,Bl86-R20,Lhem,2,4,A,rcorr,0.150111111,Male_song_3
Bl86-R20_Lhem_2_4.00_A,Bl86-R20,Lhem,2,4,A,rcorr,0.166777778,White_noise
Bl86-R20_Lhem_2_3.90_A,Bl86-R20,Lhem,2,3.9,A,rcorr,0.364111111,Female_call
Bl86-R20_Lhem_2_3.90_A,Bl86-R20,Lhem,2,3.9,A,rcorr,0.284888889,Male_song_1
Bl86-R20_Lhem_2_3.90_A,Bl86-R20,Lhem,2,3.9,A,rcorr,0.213111111,Male_song_2
Bl86-R20_Lhem_2_3.90_A,Bl86-R20,Lhem,2,3.9,A,rcorr,0.141888889,Male_song_3
Bl86-R20_Lhem_2_3.90_A,Bl86-R20,Lhem,2,3.9,A,rcorr,0.159555556,White_noise
