Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.330111111,White_noise
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.507111111,Female_call
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.300222222,Male_song_1
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.346888889,Male_song_2
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.298,Male_song_3
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.345111111,White_noise
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.458888889,Female_call
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.263222222,Male_song_1
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.224666667,Male_song_2
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.141555556,Male_song_3
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.393333333,White_noise
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.391444444,Female_call
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.450777778,Male_song_1
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.330777778,Male_song_2
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.27,Male_song_3
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.389222222,White_noise
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.520333333,Female_call
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.158444444,Male_song_1
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.230555556,Male_song_2
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.120888889,Male_song_3
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.193666667,White_noise
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.372,Female_call
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.168111111,Male_song_1
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.191666667,Male_song_2
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.122222222,Male_song_3
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.195666667,White_noise
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.195444444,Female_call
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.256111111,Male_song_1
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.317333333,Male_song_2
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.186666667,Male_song_3
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.196888889,White_noise
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.337555556,Female_call
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.156111111,Male_song_1
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.258888889,Male_song_2
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.18,Male_song_3
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.171333333,White_noise
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.378555556,Female_call
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.242333333,Male_song_1
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.136,Male_song_2
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.206222222,Male_song_3
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.301666667,White_noise
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.193888889,Female_call
