Timecourse,Trial,Period,FiringRate_Hz,Stimulus_name
POST60,13,Stimulus,24,Male song 2
POST60,14,Baseline,0,Male song 2
POST60,14,Stimulus,10.5,Male song 2
POST60,15,Baseline,0,Male song 2
POST60,15,Stimulus,0,Male song 2
POST60,16,Baseline,28,White noise
POST60,16,Stimulus,2.5,White noise
POST60,17,Baseline,0,White noise
POST60,17,Stimulus,0,White noise
POST60,18,Baseline,0,White noise
POST60,18,Stimulus,10,White noise
POST60,19,Baseline,0,White noise
POST60,19,Stimulus,6.5,White noise
POST60,20,Baseline,0,White noise
POST60,20,Stimulus,0,White noise
PRE,1,Baseline,10,Female call
PRE,1,Stimulus,8,Female call
PRE,2,Baseline,24,Female call
PRE,2,Stimulus,9.5,Female call
PRE,3,Baseline,34,Female call
PRE,3,Stimulus,5,Female call
PRE,4,Baseline,16,Female call
PRE,4,Stimulus,32.5,Female call
PRE,5,Baseline,26,Female call
PRE,5,Stimulus,35.5,Female call
PRE,6,Baseline,18,Male song 1
PRE,6,Stimulus,43.5,Male song 1
PRE,7,Baseline,10,Male song 1
PRE,7,Stimulus,27,Male song 1
PRE,8,Baseline,26,Male song 1
PRE,8,Stimulus,37.5,Male song 1
PRE,9,Baseline,8,Male song 1
PRE,9,Stimulus,29,Male song 1
PRE,10,Baseline,2,Male song 1
PRE,10,Stimulus,30,Male song 1
PRE,11,Baseline,6,Male song 2
PRE,11,Stimulus,32.5,Male song 2
PRE,12,Baseline,16,Male song 2
PRE,12,Stimulus,35,Male song 2
PRE,13,Baseline,22,Male song 2
PRE,13,Stimulus,23.5,Male song 2
PRE,14,Baseline,18,Male song 2
PRE,14,Stimulus,41,Male song 2
PRE,15,Baseline,24,Male song 2
PRE,15,Stimulus,22,Male song 2
PRE,16,Baseline,4,White noise
PRE,16,Stimulus,10.5,White noise
PRE,17,Baseline,20,White noise
PRE,17,Stimulus,5,White noise
PRE,18,Baseline,20,White noise
PRE,18,Stimulus,7,White noise
PRE,19,Baseline,28,White noise
PRE,19,Stimulus,7,White noise
PRE,20,Baseline,12,White noise
PRE,20,Stimulus,8,White noise
