Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,Female_call,0.0522595
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,Female_call,0.018363832
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,Female_call,0.090269253
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,Female_call,0.513559503
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,Female_call,0.475253806
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,Female_call,0.126825658
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,0.043825584
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,Male_song_1,0.95230309
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,Male_song_1,0.10224681
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,Male_song_1,0.918601717
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,Male_song_1,0.725639962
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,Male_song_1,0.154769205
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,Male_song_1,0.260950463
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,Male_song_1,0.263199078
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,Male_song_1,0.29317746
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,Male_song_1,1
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,Male_song_1,0.012772495
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,Male_song_1,0.009252446
R37-R3_Lhem_T2TRIAL2.65_B,R37-R3,Lhem,T2TRIAL2.65,B,Male_song_1,0.032815859
R37-R3_Lhem_T2TRIAL2.70_A,R37-R3,Lhem,T2TRIAL2.70,A,Male_song_1,0.005793045
R37-R3_Lhem_T2TRIAL2.70_B,R37-R3,Lhem,T2TRIAL2.70,B,Male_song_1,0.005825024
R37-R3_Lhem_T2TRIAL2.75_A,R37-R3,Lhem,T2TRIAL2.75,A,Male_song_1,0.008848774
R37-R3_Lhem_T2TRIAL2.75_B,R37-R3,Lhem,T2TRIAL2.75,B,Male_song_1,0.018981154
R37-R3_Lhem_T2TRIAL2.80_A,R37-R3,Lhem,T2TRIAL2.80,A,Male_song_1,0.010724438
R37-R3_Lhem_T2TRIAL2.80_B,R37-R3,Lhem,T2TRIAL2.80,B,Male_song_1,0.005857099
R37-R3_Lhem_T2TRIAL2.90_A,R37-R3,Lhem,T2TRIAL2.90,A,Male_song_1,0.00588927
R37-R3_Lhem_T2TRIAL2.90_B,R37-R3,Lhem,T2TRIAL2.90,B,Male_song_1,0.042062733
R37-R3_Lhem_T2TRIAL3.00_A,R37-R3,Lhem,T2TRIAL3.00,A,Male_song_1,0.024838502
R37-R3_Lhem_T2TRIAL3.00_B,R37-R3,Lhem,T2TRIAL3.00,B,Male_song_1,0.007140097
R37-R3_Lhem_T2TRIAL3.10_A,R37-R3,Lhem,T2TRIAL3.10,A,Male_song_1,0.193359375
R37-R3_Lhem_T2TRIAL3.10_B,R37-R3,Lhem,T2TRIAL3.10,B,Male_song_1,0.23613697
W32_Rhem_T1TRIAL2.40_A,W32,Rhem,T1TRIAL2.40,A,Male_song_1,0.001953125
W32_Rhem_T1TRIAL2.40_B,W32,Rhem,T1TRIAL2.40,B,Male_song_1,0.028314055
W32_Rhem_T1TRIAL2.45_A,W32,Rhem,T1TRIAL2.45,A,Male_song_1,0.083984375
W32_Rhem_T1TRIAL2.45_B,W32,Rhem,T1TRIAL2.45,B,Male_song_1,0.083984375
W32_Rhem_T1TRIAL2.50_A,W32,Rhem,T1TRIAL2.50,A,Male_song_1,0.574813694
W32_Rhem_T1TRIAL2.50_B,W32,Rhem,T1TRIAL2.50,B,Male_song_1,0.79873142
W32_Rhem_T1TRIAL2.55_A,W32,Rhem,T1TRIAL2.55,A,Male_song_1,0.005859375
W32_Rhem_T1TRIAL2.55_B,W32,Rhem,T1TRIAL2.55,B,Male_song_1,0.016464233
W32_Rhem_T1TRIAL2.60_A,W32,Rhem,T1TRIAL2.60,A,Male_song_1,0.00588927
W32_Rhem_T1TRIAL2.60_B,W32,Rhem,T1TRIAL2.60,B,Male_song_1,0.014029061
W32_Rhem_T1TRIAL2.65_A,W32,Rhem,T1TRIAL2.65,A,Male_song_1,0.00390625
W32_Rhem_T1TRIAL2.65_B,W32,Rhem,T1TRIAL2.65,B,Male_song_1,0.00390625
W32_Rhem_T1TRIAL2.69_A,W32,Rhem,T1TRIAL2.69,A,Male_song_1,0.645387748
W32_Rhem_T1TRIAL2.69_B,W32,Rhem,T1TRIAL2.69,B,Male_song_1,0.76953125
