Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
R37-R3_Lhem_T2TRIAL3.00_A,R37-R3,Lhem,T2TRIAL3.00,A,White_noise,0.009029911
R37-R3_Lhem_T2TRIAL3.00_B,R37-R3,Lhem,T2TRIAL3.00,B,White_noise,0.008610127
R37-R3_Lhem_T2TRIAL3.10_A,R37-R3,Lhem,T2TRIAL3.10,A,White_noise,0.00800431
R37-R3_Lhem_T2TRIAL3.10_B,R37-R3,Lhem,T2TRIAL3.10,B,White_noise,0.05802402
W32_Rhem_T1TRIAL2.40_A,W32,Rhem,T1TRIAL2.40,A,White_noise,0.001953125
W32_Rhem_T1TRIAL2.40_B,W32,Rhem,T1TRIAL2.40,B,White_noise,0.00588927
W32_Rhem_T1TRIAL2.45_A,W32,Rhem,T1TRIAL2.45,A,White_noise,0.005857099
W32_Rhem_T1TRIAL2.45_B,W32,Rhem,T1TRIAL2.45,B,White_noise,0.00588927
W32_Rhem_T1TRIAL2.50_A,W32,Rhem,T1TRIAL2.50,A,White_noise,0.154769205
W32_Rhem_T1TRIAL2.50_B,W32,Rhem,T1TRIAL2.50,B,White_noise,0.083984375
W32_Rhem_T1TRIAL2.55_A,W32,Rhem,T1TRIAL2.55,A,White_noise,0.04135891
W32_Rhem_T1TRIAL2.55_B,W32,Rhem,T1TRIAL2.55,B,White_noise,0.00800431
W32_Rhem_T1TRIAL2.60_A,W32,Rhem,T1TRIAL2.60,A,White_noise,0.00588927
W32_Rhem_T1TRIAL2.60_B,W32,Rhem,T1TRIAL2.60,B,White_noise,0.005793045
W32_Rhem_T1TRIAL2.65_A,W32,Rhem,T1TRIAL2.65,A,White_noise,0.00588927
W32_Rhem_T1TRIAL2.65_B,W32,Rhem,T1TRIAL2.65,B,White_noise,0.001953125
W32_Rhem_T1TRIAL2.69_A,W32,Rhem,T1TRIAL2.69,A,White_noise,0.307748898
W32_Rhem_T1TRIAL2.69_B,W32,Rhem,T1TRIAL2.69,B,White_noise,0.431640625
W32_Rhem_T1TRIAL2.73_A,W32,Rhem,T1TRIAL2.73,A,White_noise,0.838360234
W32_Rhem_T1TRIAL2.73_B,W32,Rhem,T1TRIAL2.73,B,White_noise,0.059171049
W32_Rhem_T1TRIAL2.85_A,W32,Rhem,T1TRIAL2.85,A,White_noise,0.47719662
W32_Rhem_T1TRIAL2.85_B,W32,Rhem,T1TRIAL2.85,B,White_noise,0.431640625
W32_Rhem_T1TRIAL2.88_A,W32,Rhem,T1TRIAL2.88,A,White_noise,0.013671875
W32_Rhem_T1TRIAL2.88_B,W32,Rhem,T1TRIAL2.88,B,White_noise,0.539763042
W32_Rhem_T1TRIAL2.88_C,W32,Rhem,T1TRIAL2.88,C,White_noise,0.151970858
W32_Rhem_T1TRIAL2.95_A,W32,Rhem,T1TRIAL2.95,A,White_noise,0.005793045
W32_Rhem_T1TRIAL2.95_B,W32,Rhem,T1TRIAL2.95,B,White_noise,0.005857099
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,White_noise,0.123204911
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,White_noise,0.018981154
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,White_noise,0.005825024
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,White_noise,0.139157015
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,White_noise,0.475245832
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,White_noise,0.085556014
